1,2,3
1,3,5
4,11,5
6,4,7
7,4,5
6,7,29
1,9,10
2,1,10
9,1,11
11,1,5
11,4,12
12,4,6
6,8,13
12,6,13
10,9,15
15,9,14
14,9,16
16,9,11
16,12,17
16,11,12
12,13,17
17,13,18
14,19,15
14,16,20
19,14,20
16,17,20
20,17,21
17,18,21
22,23,24
22,24,25
2,32,27
3,2,27
3,27,23
22,3,23
5,3,22
28,29,25
25,7,22
7,5,22
7,25,29
8,6,29
30,31,32
26,27,32
32,2,30
2,10,30
34,8,29
34,35,8
33,13,8
33,8,35
30,36,31
15,40,36
30,15,36
10,15,30
18,13,33
39,38,33
38,18,33
33,35,39
15,19,40
37,36,40
19,20,41
42,19,41
40,19,42
44,21,38
44,41,21
41,20,21
21,18,38
43,44,38
41,45,42
41,44,45
23,50,24
24,50,47
24,47,48
25,24,48
26,49,50
23,26,50
47,50,46
23,27,26
28,48,51
28,25,48
28,51,52
34,28,52
31,53,54
32,31,54
26,54,49
26,32,54
34,52,55
34,29,28
34,55,56
35,34,56
31,36,57
53,31,57
57,37,58
57,36,37
59,39,60
59,38,39
39,35,56
60,39,56
37,40,42
58,37,61
61,42,45
61,37,42
63,43,64
63,44,43
43,38,59
64,43,59
61,45,65
62,61,65
45,44,63
65,45,63
46,66,67
47,46,67
47,67,68
48,47,68
49,69,70
46,49,70
50,49,46
46,70,66
51,68,71
51,48,68
51,71,72
52,51,72
53,73,74
54,53,74
49,74,69
49,54,74
52,72,55
55,72,75
55,75,76
56,55,76
53,57,77
73,53,77
77,58,81
77,57,58
59,60,79
79,60,80
60,56,76
80,60,76
58,61,62
78,77,81
58,62,81
81,62,82
83,64,84
83,63,64
64,59,79
84,64,79
62,65,85
82,62,85
85,65,83
83,65,63
66,86,87
67,66,87
67,87,88
68,67,88
69,89,90
70,69,90
70,90,66
66,90,86
68,88,71
71,88,91
71,91,92
72,71,92
73,97,94
74,73,94
74,94,69
69,94,89
72,92,75
96,92,95
75,92,96
76,75,96
73,77,78
93,94,97
73,78,97
97,78,98
79,80,99
99,80,100
80,76,96
100,80,96
78,81,101
98,78,101
81,82,101
101,82,102
83,84,103
103,84,104
84,79,99
104,84,99
82,85,105
102,82,105
85,83,103
105,85,103
86,106,107
87,86,107
87,107,108
88,87,108
89,114,110
90,89,110
90,110,86
86,110,106
88,108,91
91,108,111
91,111,112
92,91,112
93,113,114
89,93,114
94,93,89
110,114,109
92,112,95
95,112,115
95,115,116
100,95,116
93,97,117
113,93,117
97,98,117
117,98,118
99,100,119
119,100,116
100,96,95
120,119,116
98,101,121
118,98,121
101,102,121
121,102,122
103,104,123
123,104,124
104,99,119
124,104,119
102,105,125
122,102,125
105,103,123
125,105,123
106,130,127
107,106,127
107,127,128
108,107,128
109,129,130
106,109,130
110,109,106
127,130,126
108,128,111
111,128,131
111,131,132
112,111,132
113,133,134
114,113,134
114,134,109
109,134,129
112,132,115
115,132,135
115,135,136
116,115,136
113,117,137
133,113,137
117,118,137
137,118,138
124,120,139
139,120,140
120,116,136
140,120,136
118,121,141
138,118,141
121,122,141
141,122,142
123,124,143
143,124,139
124,119,120
144,143,139
122,125,145
142,122,145
125,123,143
145,125,143
126,146,147
148,126,147
127,126,148
128,127,148
129,149,150
130,129,150
130,150,126
