1,2,3
1,3,5
4,1,5
4,5,6
2,7,8
2,1,7
1,4,9
7,1,9
4,6,10
9,4,10
7,11,8
7,9,11
11,9,12
9,10,12
13,14,15
13,15,17
16,13,17
16,17,18
19,25,21
3,19,13
14,13,19
3,2,19
14,19,21
5,13,16
5,3,13
6,16,23
23,16,18
6,5,16
22,6,23
22,23,24
20,21,26
26,21,25
8,25,2
2,25,19
10,6,22
27,10,22
27,22,28
28,22,24
25,29,26
8,11,30
29,8,30
29,30,31
29,25,8
11,12,32
30,11,32
33,12,27
34,33,27
32,12,33
27,12,10
27,28,34
30,32,31
31,32,35
35,32,36
32,33,36
15,37,38
15,14,37
15,38,39
17,15,39
18,39,40
18,17,39
20,41,42
21,20,42
14,42,37
14,21,42
18,40,43
23,18,43
24,43,44
24,23,43
20,45,41
20,26,45
28,24,46
46,24,44
26,29,47
48,45,47
45,26,47
29,31,47
33,34,49
50,28,46
50,34,28
49,34,50
47,51,48
51,35,52
51,31,35
47,31,51
35,36,53
52,35,53
36,33,49
53,36,49
53,49,54
49,50,68
55,56,57
37,55,57
58,38,57
38,37,57
38,58,59
39,38,59
61,40,60
59,40,39
60,40,59
61,60,78
41,63,55
55,63,56
42,41,55
42,55,37
40,61,43
43,61,44
44,61,62
44,62,64
45,65,41
41,65,63
46,44,64
66,46,64
48,67,65
45,48,65
50,46,66
68,50,66
48,51,69
67,48,69
69,52,70
69,51,52
52,53,71
70,52,71
71,54,72
71,53,54
54,49,68
72,54,68
56,73,74
57,56,74
58,74,75
58,57,74
58,75,76
59,58,76
60,76,77
60,59,76
60,77,78
62,61,78
56,79,73
56,63,79
94,62,78
80,64,62
63,81,79
63,65,81
66,64,82
82,64,80
67,83,81
65,67,81
68,66,84
84,66,82
67,69,85
83,67,85
69,70,85
85,70,86
70,71,87
86,70,87
87,72,88
87,71,72
72,68,84
88,72,84
73,89,90
74,73,90
74,90,75
75,90,91
75,91,92
76,75,92
76,92,77
77,92,108
78,93,94
78,77,93
79,95,73
73,95,89
80,62,94
96,80,94
81,97,79
79,97,95
98,80,96
98,82,80
83,99,97
81,83,97
84,82,100
100,82,98
83,85,101
99,83,101
85,86,101
101,86,102
86,87,103
102,86,103
87,88,103
103,88,104
88,84,100
104,88,100
89,105,106
90,89,106
91,106,121
91,90,106
92,107,108
92,91,107
93,108,109
93,77,108
93,109,110
94,93,110
89,111,105
89,95,111
96,94,110
112,96,110
97,113,95
95,113,111
98,96,114
114,96,112
97,99,113
113,99,115
116,98,114
116,100,98
99,101,117
115,99,117
117,102,118
117,101,102
102,103,119
118,102,119
119,104,120
119,103,104
104,100,116
120,104,116
105,128,106
91,121,107
123,121,122
107,121,123
107,123,124
108,107,124
109,124,125
126,109,125
109,108,124
109,126,110
105,127,128
121,106,128
105,111,127
121,128,122
126,125,129
112,110,126
129,130,126
130,112,126
113,131,111
111,131,127
132,112,130
132,114,112
115,133,134
131,115,134
113,115,131
133,135,134
136,114,132
136,116,114
115,117,133
133,118,137
133,117,118
133,137,135
118,119,138
137,118,138
138,120,139
138,119,120
120,116,136
139,120,136
122,140,123
142,140,141
142,123,140
124,123,142
124,142,125
125,142,143
127,144,128
128,144,145
128,145,122
140,122,146
122,145,146
140,146,141
129,143,147
129,125,143
129,147,148
130,129,148
131,149,127
127,149,144
150,132,148
148,132,130
149,134,151
149,131,134
151,135,152
151,134,135
153,154,155
136,132,150
154,153,150
153,136,150
135,137,156
152,135,156
137,138,157
156,137,157
157,139,153
155,157,153
157,138,139
139,136,153
141,158,143
142,141,143
144,159,145
145,159,160
146,145,160
146,160,161
146,161,141
158,141,161
158,161,162
143,158,147
164,163,162
147,158,163
163,158,162
147,163,167
144,149,165
159,144,165
166,160,159
165,166,159
167,163,168
168,163,164
167,148,147
167,150,148
149,151,165
151,152,169
165,151,169
165,169,166
175,169,170
170,171,172
170,169,152
168,154,167
168,172,154
171,155,172
172,155,154
154,150,167
152,156,171
156,157,155
170,152,171
156,155,171
160,173,161
162,161,173
174,162,173
162,174,164
173,166,175
173,160,166
174,173,175
176,174,175
176,164,174
176,168,164
166,169,175
175,170,176
176,170,172
172,168,176
