1,2,3
1,3,13
4,1,5
4,5,6
2,7,8
2,1,7
1,4,7
7,4,9
4,6,10
9,4,10
7,11,8
7,9,11
33,9,12
9,10,12
13,3,15
13,15,17
16,13,17
16,17,19
18,16,19
18,19,20
21,22,23
2,21,23
3,2,23
3,23,14
15,3,14
1,13,5
5,13,16
6,16,18
6,5,16
6,18,24
18,20,25
24,18,25
21,26,27
22,21,27
8,26,21
2,8,21
10,6,24
28,10,24
24,25,29
28,24,29
26,30,31
27,26,31
8,11,30
30,11,32
26,8,30
11,9,33
32,11,33
34,12,28
28,12,10
33,12,34
28,29,35
34,28,35
30,36,31
36,32,37
36,30,32
32,33,37
37,33,38
33,34,38
38,34,39
34,35,39
40,41,42
40,42,43
44,45,46
47,44,46
47,14,44
15,14,47
15,47,41
40,17,41
17,15,41
48,40,43
48,19,40
19,17,40
20,48,49
20,19,48
44,50,45
44,14,50
23,22,50
23,50,14
25,20,52
52,20,49
51,25,52
51,52,53
54,55,56
27,54,22
22,54,56
22,56,50
29,25,51
57,29,51
51,53,58
57,51,58
54,59,55
54,60,59
54,27,60
27,31,60
35,29,57
61,35,57
57,58,62
61,57,62
31,36,63
60,31,63
36,37,64
65,36,64
63,36,65
37,38,66
64,37,66
38,39,67
66,38,67
39,35,61
68,39,61
67,39,68
68,61,69
61,62,69
64,70,65
64,66,71
70,64,71
66,67,72
71,66,72
67,68,72
73,74,75
42,73,75
76,42,75
42,41,73
43,76,77
43,42,76
45,78,46
46,78,79
46,79,74
73,46,74
47,46,73
47,73,41
48,43,80
80,43,77
82,49,81
81,49,80
49,48,80
82,81,83
84,85,86
50,56,45
78,84,86
45,84,78
49,82,52
87,82,83
87,53,82
53,52,82
55,88,85
84,55,85
56,55,84
56,84,45
58,53,87
89,58,87
88,59,90
88,55,59
90,59,91
91,59,60
62,58,89
92,62,89
91,63,93
91,60,63
91,93,94
63,65,93
68,69,95
95,69,96
69,62,92
96,69,92
93,97,94
97,70,98
97,93,70
93,65,70
98,71,99
98,70,71
99,72,100
99,71,72
72,68,95
100,72,95
74,101,102
75,74,102
75,102,103
76,75,103
76,103,104
105,77,104
77,76,104
106,105,104
78,107,79
79,107,108
74,79,101
101,79,108
77,105,80
80,105,81
109,81,105
109,105,106
83,109,110
83,81,109
86,111,112
86,85,111
86,112,107
78,86,107
87,83,113
113,83,110
88,114,85
85,114,111
89,87,113
115,89,113
117,90,116
117,88,90
114,88,117
90,91,116
92,89,118
118,89,115
117,116,119
116,120,119
116,94,120
91,94,116
95,96,121
121,96,122
96,92,118
122,96,118
120,97,123
120,94,97
97,98,124
123,97,124
98,99,125
124,98,125
99,100,125
125,100,126
100,95,121
126,100,121
102,127,128
102,101,127
102,128,103
103,128,129
131,129,130
131,104,129
104,103,129
106,104,131
107,132,108
108,132,133
108,133,127
101,108,127
131,130,134
106,131,134
135,106,134
109,106,135
135,134,136
109,135,110
112,137,138
112,111,137
107,112,132
132,112,138
135,136,139
139,110,135
140,113,110
140,110,139
111,141,137
111,114,141
115,113,140
142,115,140
141,143,144
141,114,143
114,117,143
143,145,144
146,115,142
146,118,115
143,117,119
119,120,147
145,119,147
143,119,145
145,147,148
147,149,148
121,122,150
150,122,151
122,118,146
151,122,146
120,123,147
123,124,152
149,123,152
147,123,149
124,125,153
152,124,153
153,126,154
153,125,126
126,121,150
154,126,150
127,155,128
128,155,156
129,128,156
129,156,130
132,157,133
133,157,158
155,158,159
155,127,133
155,133,158
155,159,156
156,159,160
161,130,160
160,130,156
134,130,161
136,161,162
136,134,161
137,163,138
138,163,157
187,163,164
132,138,157
136,162,165
139,136,165
139,165,166
140,139,166
137,167,163
137,141,167
164,167,168
164,163,167
142,140,166
169,142,166
141,144,167
144,145,170
168,144,170
167,144,168
171,172,173
146,142,169
172,171,169
171,146,169
170,148,174
170,145,148
148,149,175
174,148,175
176,177,178
150,151,176
177,151,171
176,151,177
177,171,173
151,146,171
149,152,179
175,149,179
152,153,179
179,153,180
178,180,176
176,180,154
180,153,154
154,150,176
157,181,158
158,181,182
159,158,182
184,182,183
184,159,182
160,159,184
186,160,185
185,160,184
161,160,186
161,186,162
157,187,181
157,163,187
181,187,188
189,181,188
182,181,189
182,189,183
186,185,190
192,186,190
192,162,186
191,165,162
192,191,162
165,191,166
187,164,194
164,168,193
164,193,194
187,194,188
195,191,196
196,191,192
195,166,191
195,169,166
170,197,168
193,197,198
168,197,193
197,199,198
200,201,202
201,172,195
201,173,172
200,173,201
201,195,196
172,169,195
170,174,197
174,175,203
199,174,203
199,203,204
199,197,174
203,205,206
204,203,206
202,206,200
200,178,177
205,178,206
206,178,200
177,173,200
175,179,205
179,180,205
203,175,205
180,178,205
183,207,185
184,183,185
188,208,189
183,208,207
207,208,209
183,189,208
210,207,209
190,185,207
190,207,210
190,210,192
193,198,194
208,211,212
208,188,211
188,194,211
208,212,209
209,212,213
210,213,214
210,209,213
196,192,210
214,196,210
194,198,211
211,198,215
212,211,215
215,198,199
213,212,216
216,212,215
202,201,214
213,202,214
216,202,213
201,196,214
199,204,215
204,206,216
215,204,216
206,202,216
