1,2,3
1,3,5
4,1,5
4,5,7
6,4,7
6,7,9
8,6,9
10,9,68
10,8,9
10,11,12
12,11,13
12,13,14
14,13,15
14,15,16
16,15,17
20,18,19
18,16,17
18,17,19
2,21,22
2,1,21
1,4,23
21,1,23
4,6,24
23,4,24
24,6,25
25,6,8
8,10,26
37,8,26
26,12,27
26,10,12
27,14,28
27,12,14
14,16,28
28,16,29
29,18,30
29,16,18
30,20,31
30,18,20
22,21,33
33,21,32
32,23,34
32,21,23
34,24,35
34,23,24
24,25,35
35,25,36
25,8,37
36,25,37
26,27,38
37,26,38
27,28,39
38,27,39
28,29,40
39,28,40
29,30,41
40,29,41
30,31,42
41,30,42
32,43,33
32,34,44
43,32,44
34,35,45
46,44,45
44,34,45
45,36,47
48,45,47
45,35,36
47,36,49
49,36,37
49,38,50
49,37,38
38,39,51
52,50,51
50,38,51
51,39,53
53,39,40
55,41,54
55,53,40
55,40,41
41,42,54
45,48,46
46,48,56
51,53,52
57,52,58
58,52,53
53,55,58
62,60,61
62,61,63
62,3,60
62,63,64
64,63,65
64,65,66
66,65,67
66,67,69
68,66,69
70,69,71
70,68,69
72,70,73
73,70,71
72,73,75
74,72,75
74,75,77
76,74,77
76,77,78
79,80,81
60,59,81
81,59,79
3,2,59
59,2,79
3,59,60
5,3,62
5,62,64
7,5,64
7,64,66
9,7,66
9,66,68
11,10,68
11,68,70
13,11,70
13,70,72
15,13,72
15,72,74
17,15,74
17,74,76
19,17,76
83,76,78
83,19,76
20,19,82
82,19,83
82,83,84
80,85,86
80,79,85
22,85,79
2,22,79
87,31,82
82,31,20
87,84,128
87,82,84
85,89,90
86,85,90
22,33,89
85,22,89
91,31,87
91,42,31
91,88,92
91,87,88
89,93,90
33,43,94
89,33,94
93,94,95
93,89,94
43,44,96
95,43,96
44,46,96
48,47,97
47,49,98
97,47,98
98,50,99
98,49,50
50,52,99
55,54,100
102,42,91
102,54,42
100,54,101
101,54,102
91,92,102
94,43,95
103,96,104
103,95,96
104,56,105
104,96,46
104,46,56
56,48,97
106,56,97
105,56,106
97,98,107
106,97,107
